right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
,,,-276.1411335310514,-9.37544113468594,1233.1310161309725,-256.3026164371191,-30.655249465252187,1218.6743927910097,-238.46041341193924,-41.72425892784467,1199.8158058488634,-222.04378910647443,-49.62913794223578,1186.9301294133513,-290.33322906851356,-58.69346345262316,1203.89166813702,-264.07179131893145,-69.31919187272071,1175.7375573448503,-243.52697689993823,-72.06849891475713,1162.5746350323693,-225.37133110814264,-71.75349136868356,1159.2713460607201,-300.04780285409134,-44.84886947366509,1189.3368965525474,-258.57677135336826,-50.1976697638721,1149.5642431121262,-230.64363331621573,-46.788377451966845,1142.8180436419339,-209.7656741793883,-41.80132786714345,1142.5558526844575,-303.26514675874483,-25.457594997002854,1178.707006022976,-259.96529602496076,-26.773534214668587,1153.277388059387,-232.82219332709465,-22.900236455662338,1156.0903279060105,-212.88620319571726,-17.729454263030714,1159.3201452493333,-301.60737494611163,-4.4239278386411405,1171.7074879672075,-267.69744268047106,-6.378800069712109,1162.6477509853812,-247.28288242080947,-5.017462013297736,1166.93372785802,-231.52633930615056,-1.8978517348421653,1171.120957244914
,,,-283.1849818023878,-14.44043794695781,1232.9406380283315,-265.9792352436309,-37.37320366827923,1214.5989739111105,-250.83287914806814,-50.63981120035,1199.1238405660163,-236.25967485646458,-60.16766498875985,1186.8316957553,-298.0642954607357,-62.27562704672294,1206.3938941714023,-269.45952694056876,-74.30365938807417,1181.7816052375383,-247.22974312816712,-77.26217522678955,1173.059223891786,-228.35849585346227,-77.01185816522937,1174.038823829977,-306.5972236383062,-47.9051063478317,1195.2526581647462,-263.776047782306,-56.22589293949723,1179.986522534324,-234.9303035996291,-53.90263923904916,1176.6995961370392,-214.19156692244988,-49.71489860338006,1180.1193970199597,-307.9736126537603,-28.154975729485376,1184.8794899165944,-263.8395605044706,-32.354903447447185,1170.720088194071,-237.0958417622578,-29.68529679856736,1174.5400522902423,-218.52181115992232,-25.587444438628452,1184.2370168461218,-304.40031858323226,-7.118159732577668,1175.004041271887,-270.34719161554057,-11.632845125697324,1171.2404784067649,-250.8084411586757,-11.479103052149544,1176.2503688454804,-236.29177969034203,-9.39873623406112,1183.2262102388959
,,,-298.4444713631446,-19.250603619319836,1260.70008257103,-279.47992815801257,-43.96381730001673,1241.7182357112697,-259.4178107045884,-56.99815367016932,1215.228743251238,-242.46068250883175,-66.70278798687532,1206.2841447920755,-309.06258560242145,-64.23602160912948,1210.298227225691,-277.63303459798107,-76.84447038572154,1191.0819301541167,-254.9299664604549,-80.41362190510625,1181.2736312083557,-236.47751378697197,-81.46863368739294,1180.1840232692402,-313.88242482949425,-48.01945926730358,1196.0508331134045,-269.36877364683784,-58.225493325148534,1187.682950155709,-240.7047488325395,-57.38687789707856,1191.6871230945694,-219.9226148163615,-54.149397054677806,1196.433983603022,-312.1354901336081,-27.740484933855363,1184.8927749642717,-266.0643996822117,-33.440088343240866,1174.9647633408067,-240.77141859901985,-32.12478371302092,1183.957348256313,-223.33067008036872,-29.351639633715095,1193.8529891663547,-306.2365634249621,-6.741225573102843,1176.3462569335447,-271.08573641524765,-12.311784861534566,1175.7115609516622,-252.72188202979004,-13.413672121948004,1186.637039928136,-239.117862818834,-12.640119541573805,1197.722999248233
,,,-311.65116792429666,-22.800622093312917,1231.9188263223878,-293.7077903096992,-48.56846088702152,1237.089292102632,-271.5313090281243,-61.43206905401714,1238.530670806051,-253.38776028193524,-69.27114609619994,1233.4649326249696,-316.8476254503667,-63.559083980827275,1214.8561661756778,-285.65328139274095,-78.14076646518602,1208.0603412948026,-263.0061730756401,-81.162523367024,1205.3191100587246,-244.3838277347295,-81.95605803278988,1200.3508906483994,-319.6985636764919,-45.92909825381078,1210.3741855097471,-276.2452248822696,-55.71864265790578,1209.1832709245705,-247.30365596454726,-56.013261902816446,1213.1313966489286,-225.56255025518334,-54.369047713071986,1216.049500053705,-316.6733666475331,-25.531786378903114,1207.132122007131,-272.043472055478,-31.27593849837734,1198.8290322474093,-246.0646327882907,-30.620163929422382,1206.8117559071954,-227.3094947864666,-29.379978820025904,1212.356406214908,-310.30211710323977,-5.219493447828887,1204.6697781027349,-275.9958367583194,-10.639226233362564,1202.5580587291702,-257.7565764238829,-12.092555765668342,1204.2636231762033,-244.02779258166274,-12.430880759291227,1202.2649055539007
,,,-323.3497312499345,-18.765244850370323,1296.1632030212213,-306.02556861102886,-45.14147350630993,1284.1509592483637,-283.13972943020144,-58.00766853506546,1264.0825680557743,-265.1609510229036,-64.97424432657974,1248.36904997422,-326.7775322788385,-58.05787186191554,1235.669375505483,-293.365850604178,-72.68052561477259,1212.5816814122777,-270.4154921246532,-77.93447313317715,1208.4059178649482,-251.49276731152312,-80.68890787152259,1208.041609623399,-327.6544972963984,-39.519652957632445,1220.8547097710239,-282.94377071600195,-52.86446912665274,1211.8144167029461,-254.1993516833477,-54.85582699823108,1216.0376116084592,-232.8172008437204,-54.053347401651905,1219.6446576636558,-322.53932313616923,-19.058778352611057,1209.514465148596,-276.99996411055014,-27.926438154896285,1205.6682954539438,-251.4129904367667,-30.007387787870282,1212.2727546211106,-233.5335639904491,-30.78522974265368,1219.6848387152477,-314.2830080876779,0.9435444702044272,1202.7754641698932,-279.78838899299086,-6.254739024992969,1204.3250406032612,-262.1723554632004,-9.846690208917597,1213.2376348281675,-249.2135237341134,-11.86673130252876,1221.5330303345847
,,,-335.3443946304688,-13.077260757807633,1294.9162109288404,-318.2965137733001,-42.70445410127685,1297.5089494721249,-294.16844800594055,-57.833954864457915,1289.0159538254738,-274.84433882381563,-66.89355760613242,1280.0898079377462,-333.58971891632393,-54.263459836729425,1238.917597506547,-299.8733526295514,-72.94644235343341,1228.15866390498,-277.01675956015663,-77.39716061473814,1230.0559518386121,-258.7124696493337,-79.28909391973957,1229.0800959564526,-333.1253653032198,-35.871272623983856,1227.666890609083,-288.07755497919453,-51.74525097492136,1222.3685979264098,-259.3822147890296,-53.6482755134845,1232.3009671693767,-238.66306619535155,-52.54614464463612,1240.8054454006506,-326.5659055660224,-15.633873538111656,1220.6922640257874,-281.60113652980436,-27.734480884184496,1215.358864794289,-255.81667520534953,-29.17528481719299,1225.855773875306,-238.47210839040324,-29.42007254962642,1233.6413286802604,-317.1750145225736,4.271729160616675,1215.773562274268,-283.01224940468205,-5.533388142781325,1223.0953660423622,-266.3483633638309,-8.531915143957413,1229.275673828661,-255.0748807613344,-10.182238086628145,1227.7717162187794
,,,-340.46510154339506,-15.458422830342325,1284.374310491762,-325.01922076747206,-46.609614417264154,1309.6701221475996,-302.18769553710274,-63.555305431099214,1319.268219329902,-282.4112962682242,-73.72696263879247,1323.2060706221612,-340.12511949038134,-52.69872633572988,1249.1499786396134,-305.2026308541364,-70.79674475568973,1232.762523912985,-281.66086953789187,-75.59056616055054,1228.1618869000647,-262.88723285771954,-77.8110610301191,1221.5854841696826,-339.9454971544675,-33.182796843841416,1240.1240549950305,-292.2935108095379,-49.92919514772041,1227.2830876492462,-262.7893912064167,-52.56408720049512,1228.3733685080354,-242.17943318351405,-51.36590234545595,1227.248531283314,-332.7775285339743,-12.287558593553626,1232.673609755655,-286.5410173320391,-26.24925199587964,1225.9873122981546,-260.5888536142833,-28.119836755504647,1235.590433282547,-243.74135229552007,-28.132707361258575,1239.7721929957534,-322.6185042991579,7.322404438113975,1223.9226090879677,-287.5753867486738,-3.727119432282059,1233.4462728629799,-270.71213408699913,-7.899967413316557,1239.2298465397312,-259.6400806626837,-10.087784916604047,1234.7525483357979
,,,-345.4827636221579,-10.829309949913434,1299.5825908492154,-330.31736372925326,-38.9287587551181,1301.2555112660064,-308.46273915874707,-54.18676624725958,1300.3587539231473,-290.48402729996593,-63.34509500754441,1287.8054958377636,-346.8318213830833,-47.211534498135705,1239.444271560978,-312.5598626648884,-64.61871308829768,1215.618731211934,-289.2742659771263,-70.99004040912449,1209.7558720675827,-270.8391965927661,-74.29431714825985,1207.344211293873,-345.685111675849,-26.930391031456125,1230.4947952366417,-299.9863619790454,-43.38046972249729,1211.151013849202,-272.70946434155337,-47.67326074834914,1209.2763639026728,-253.66263187152484,-48.17308027417132,1212.8956823736833,-338.3547849356184,-6.541675921037532,1222.399910555168,-292.7400730121178,-19.445744634820503,1216.3788381293289,-268.1551974997279,-23.92070220215881,1218.4247113926097,-252.16745692070174,-26.08320653848962,1224.0414985843427,-328.1397988276368,12.381876580464976,1217.523112804138,-294.267844193071,1.5900557180673967,1215.2380337311681,-277.8028559644786,-3.970436062093455,1220.9968622970562,-266.382775619409,-7.079525799213589,1228.341071355839
,,,-353.56886207508927,-5.176888799798292,1337.2704193030725,-336.8262090136219,-33.277024197652594,1323.3454458270653,-313.3544403280673,-47.20663578301048,1305.421728677646,-295.3072533975637,-55.742544844400896,1290.8714446673787,-356.1955271045695,-41.413852855485125,1255.569287770784,-321.1578174235919,-58.13479450738848,1230.413872957384,-297.00816215829366,-64.28098468453638,1221.9945163879665,-277.3096376495567,-66.92874172805207,1215.7494395116282,-354.6152622741004,-20.937628598734197,1238.4309416652764,-308.53969320547327,-38.035819241361494,1214.8947103850562,-281.354346163937,-42.48750616842989,1218.486030835308,-262.2665772722451,-42.79337309787389,1222.0307784414408,-346.6195060517177,-0.3199528999762361,1225.2611313116158,-299.9668968112034,-13.60623245226671,1217.494920975586,-275.9766754744237,-17.841727672065026,1223.8346303377314,-260.45092865906196,-19.39233879799459,1226.9873661310723,-335.826340065214,18.528796389470568,1217.8458205709564,-300.79673139589335,7.558882980559596,1213.8299318629022,-283.98211795820436,2.0481992203424686,1217.4694000007557,-272.41842300042055,-0.8270326586111838,1217.759864328254
,,,-357.48496378264446,0.6545856667387112,1338.9166612298031,-340.93752076845715,-28.19994021966822,1312.2493490274378,-317.9346571272909,-40.73053882870827,1283.097211991495,-300.595845855233,-45.602051854618374,1263.229705673182,-364.74830696940285,-35.31749675641979,1271.9606924993495,-330.8829492112792,-50.65563060661194,1234.463852783546,-307.43145860660223,-56.037866595718654,1219.8081142841054,-288.0341318844831,-58.505108893055336,1209.055271405702,-365.28803292309226,-14.884172665242232,1262.7054600467816,-319.43629680888154,-31.263665794159795,1214.5521620216714,-292.14524756495456,-34.675899744526625,1215.1602442921926,-272.8295250069149,-34.060594077569654,1214.1500899042562,-358.0350393026414,5.491510142718424,1253.18616256665,-309.59515187192306,-7.84603339287583,1218.102552221097,-284.78898009023777,-11.286954956611437,1225.0651314278005,-269.05442728408866,-12.283543622751381,1229.4136064378906,-347.2610606434189,24.333431586838245,1244.5914074537793,-311.55759207193597,14.137874863289994,1227.079513159493,-295.72820807056627,9.93494414681584,1241.0335443026706,-285.519470282231,7.337310752663392,1251.8067620408626
